DATE,IPG2211A2N
1939-01-01,3.3335
1939-02-01,3.3590
1939-03-01,3.4353
1939-04-01,3.4607
1939-05-01,3.4607
1939-06-01,3.5116
1939-07-01,3.5116
1939-08-01,3.5625
1939-09-01,3.6643
1939-10-01,3.6643
1939-11-01,3.6898
1939-12-01,3.6898
1940-01-01,3.7152
1940-02-01,3.7661
1940-03-01,3.7915
1940-04-01,3.7915
1940-05-01,3.8170
1940-06-01,3.8679
1940-07-01,3.8679
1940-08-01,3.9188
1940-09-01,3.9697
1940-10-01,3.9951
1940-11-01,4.0969
1940-12-01,4.0969
1941-01-01,4.1223
1941-02-01,4.1732
1941-03-01,4.2241
1941-04-01,4.2750
1941-05-01,4.3005
1941-06-01,4.3768
1941-07-01,4.4277
1941-08-01,4.4786
1941-09-01,4.5040
1941-10-01,4.5295
1941-11-01,4.5804
1941-12-01,4.6822
1942-01-01,4.7331
1942-02-01,4.7840
1942-03-01,4.8094
1942-04-01,4.8094
1942-05-01,4.8094
1942-06-01,4.8349
1942-07-01,4.9875
1942-08-01,5.0130
1942-09-01,5.0384
1942-10-01,5.0384
1942-11-01,5.1148
1942-12-01,5.1911
1943-01-01,5.1402
1943-02-01,5.2166
1943-03-01,5.2420
1943-04-01,5.3183
1943-05-01,5.3438
1943-06-01,5.4456
1943-07-01,5.4965
1943-08-01,5.5219
1943-09-01,5.6237
1943-10-01,5.6237
1943-11-01,5.7000
1943-12-01,5.7000
1944-01-01,5.6491
1944-02-01,5.7255
1944-03-01,5.8273
1944-04-01,5.8527
1944-05-01,5.8527
1944-06-01,5.8527
1944-07-01,5.8018
1944-08-01,5.8273
1944-09-01,5.8018
1944-10-01,5.7509
1944-11-01,5.8018
1944-12-01,5.8273
1945-01-01,5.9291
1945-02-01,5.9291
1945-03-01,5.9036
1945-04-01,5.9036
1945-05-01,5.9545
1945-06-01,6.0308
1945-07-01,6.0054
1945-08-01,5.9036
1945-09-01,5.8018
1945-10-01,5.7509
1945-11-01,5.8018
1945-12-01,5.8527
1946-01-01,5.8527
1946-02-01,5.8527
1946-03-01,5.8527
1946-04-01,5.9545
1946-05-01,6.0054
1946-06-01,6.0308
1946-07-01,6.1581
1946-08-01,6.2599
1946-09-01,6.3362
1946-10-01,6.4125
1946-11-01,6.4380
1946-12-01,6.4634
1947-01-01,6.6416
1947-02-01,6.5143
1947-03-01,6.4634
1947-04-01,6.4634
1947-05-01,6.4380
1947-06-01,6.4380
1947-07-01,6.4380
1947-08-01,6.6161
1947-09-01,6.7434
1947-10-01,6.7688
1947-11-01,6.8451
1947-12-01,7.1759
1948-01-01,7.5322
1948-02-01,7.3541
1948-03-01,7.3795
1948-04-01,7.2268
1948-05-01,7.0742
1948-06-01,7.1250
1948-07-01,7.1759
1948-08-01,7.3541
